File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges
openSSL_9_2400,7229,9,2400,6 states,20 symbols,23155,40,5,8,18,269,31,0,6245.5568,9600,9600,1024,9533,67,8576,0.94,0.11,0.99,0.2,0.5,0.5,0.7316849816849818,88.89,597.78
openSSL_2_2400,7810,2,2400,6 states,20 symbols,23153,33,3,7,18,28,31,0,5497.7834,9600,9600,1529,9521,79,8071,0.95,0.16,0.99,0.3,0.6,0.6,0.9047619047619048,91.67,77.78
openSSL_3_2400,2163,3,2400,6 states,20 symbols,23261,33,3,7,18,54,31,0,6930.8137,9600,9600,1524,9527,73,8076,0.95,0.16,0.99,0.3,0.6,0.6,0.9047619047619048,91.67,150.0
openSSL_6_2400,8807,6,2400,6 states,20 symbols,23148,36,2,8,19,102,30,0,5930.4752,9600,9600,1526,9487,113,8074,0.93,0.16,0.99,0.3,0.6,0.6,0.8746031746031746,94.74,268.42
openSSL_8_2400,8312,8,2400,6 states,20 symbols,23146,36,4,8,18,140,31,0,7205.0956,9600,9600,2987,9210,390,6613,0.88,0.31,0.96,0.5,0.6,0.6,0.7664640324214793,90.0,350.0
openSSL_5_2400,1890,5,2400,6 states,20 symbols,23199,40,4,9,18,254,31,0,6213.7111,9600,9600,573,9530,70,9027,0.89,0.06,0.99,0.1,0.5,0.5,0.7101648351648351,90.91,577.27
openSSL_0_2400,5878,0,2400,6 states,20 symbols,23256,34,2,8,19,75,30,0,6730.4816,9600,9600,1514,9526,74,8086,0.95,0.16,0.99,0.3,0.6,0.6,0.8942414174972315,94.44,208.33
openSSL_7_2400,662,7,2400,6 states,20 symbols,23121,33,3,7,18,62,31,0,6367.3125,9600,9600,1555,9530,70,8045,0.96,0.16,0.99,0.3,0.6,0.6,0.9047619047619048,91.67,172.22
openSSL_1_2400,858,1,2400,6 states,20 symbols,23169,38,3,8,18,136,31,0,5975.067,9600,9600,1545,9384,216,8055,0.88,0.16,0.98,0.3,0.6,0.6,0.78125,92.68,331.71
openSSL_4_2400,3121,4,2400,6 states,20 symbols,23162,41,3,9,19,270,30,0,6547.1104,9600,9600,2970,9093,507,6630,0.85,0.31,0.95,0.5,0.6,0.6,0.6671245421245422,93.18,613.64
