File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges
openSSL_5_0,3796,5,0,6 states,20 symbols,153,51,5,22,18,3390,19,0,1.6425,112,112,0,112,0,112,0.0,0.0,0.0,0.0,0.5,0.0,0.1287878787878787,91.07,6053.57
openSSL_1_0,9292,1,0,6 states,20 symbols,153,51,5,22,18,3390,19,0,1.5469,112,112,0,112,0,112,0.0,0.0,0.0,0.0,0.5,0.0,0.1287878787878787,91.07,6053.57
openSSL_2_0,180,2,0,6 states,20 symbols,153,51,5,22,18,3390,19,0,1.5962,112,112,0,112,0,112,0.0,0.0,0.0,0.0,0.5,0.0,0.1287878787878787,91.07,6053.57
openSSL_0_0,5989,0,0,6 states,20 symbols,153,51,5,22,18,3390,19,0,1.6281,112,112,0,112,0,112,0.0,0.0,0.0,0.0,0.5,0.0,0.1287878787878787,91.07,6053.57
openSSL_7_0,312,7,0,6 states,20 symbols,153,51,5,22,18,3390,19,0,1.8699,112,112,0,112,0,112,0.0,0.0,0.0,0.0,0.5,0.0,0.1287878787878787,91.07,6053.57
openSSL_9_0,8768,9,0,6 states,20 symbols,153,51,5,22,18,3390,19,0,1.5149,112,112,0,112,0,112,0.0,0.0,0.0,0.0,0.5,0.0,0.1287878787878787,91.07,6053.57
openSSL_6_0,9758,6,0,6 states,20 symbols,153,51,5,22,18,3390,19,0,1.8346,112,112,0,112,0,112,0.0,0.0,0.0,0.0,0.5,0.0,0.1287878787878787,91.07,6053.57
openSSL_3_0,6240,3,0,6 states,20 symbols,153,51,5,22,18,3390,19,0,1.6172,112,112,0,112,0,112,0.0,0.0,0.0,0.0,0.5,0.0,0.1287878787878787,91.07,6053.57
openSSL_8_0,7727,8,0,6 states,20 symbols,153,51,5,22,18,3390,19,0,1.6116,112,112,0,112,0,112,0.0,0.0,0.0,0.0,0.5,0.0,0.1287878787878787,91.07,6053.57
openSSL_4_0,6940,4,0,6 states,20 symbols,153,51,5,22,18,3390,19,0,1.5554,112,112,0,112,0,112,0.0,0.0,0.0,0.0,0.5,0.0,0.1287878787878787,91.07,6053.57
